location,activity_type,duration_min,lat,lon
Mirabell Gardens,Ride,22,47.806745071229514,13.044415574720697
Mirabell Gardens,Walk,35,47.80579260354824,13.044821569052736
Mirabell Gardens,Ride,43,47.80697153280715,13.04586610248635
Mirabell Gardens,Walk,23,47.80828454478461,13.04580760410407
Mirabell Gardens,Walk,31,47.80564876993791,13.040944661264085
Mirabell Gardens,Hike,29,47.805648794564576,13.04182434992017
Mirabell Gardens,Walk,48,47.80836881922326,13.044730070534417
Mirabell Gardens,Ride,46,47.807151152093724,13.044727571901824
Mirabell Gardens,Hike,34,47.8052957884211,13.04473009537261
Mirabell Gardens,Run,47,47.806813840065374,13.05140546298131
Mirabell Gardens,Run,36,47.80530487346078,13.044841781021386
Mirabell Gardens,Hike,40,47.80530140536964,13.04597113128036
Mirabell Gardens,Ride,70,47.80636294340734,13.045608003526986
Mirabell Gardens,Run,65,47.80313007963301,13.04500278250261
Mirabell Gardens,Run,25,47.803412623251226,13.043069461510719
Mirabell Gardens,Walk,57,47.80515656870614,13.045217938440986
Mirabell Gardens,Walk,57,47.804480753319496,13.042154349570925
Mirabell Gardens,Ride,27,47.80647137099889,13.04322636278652
Mirabell Gardens,Hike,57,47.80463796388671,13.04272927290434
Mirabell Gardens,Ride,68,47.803881544448,13.043863748278772
Mirabell Gardens,Hike,28,47.80819847315338,13.048329317133346
Mirabell Gardens,Run,31,47.80566133554927,13.039965469614815
Mirabell Gardens,Walk,60,47.80610129230703,13.045072520380748
Mirabell Gardens,Ride,49,47.803862877720675,13.04047456825762
Mirabell Gardens,Ride,53,47.80518342591321,13.042756136268421
Mirabell Gardens,Hike,50,47.80616638388456,13.045877901193935
Mirabell Gardens,Hike,50,47.804273509633866,13.04382856003819
Mirabell Gardens,Ride,25,47.806563547027515,13.04154451044414
Mirabell Gardens,Hike,60,47.80509904196512,13.04226939258148
Mirabell Gardens,Ride,62,47.80556245937531,13.045059195497869
Mirabell Gardens,Ride,41,47.80509744008165,13.042239266736566
Mirabell Gardens,Ride,44,47.80877841727676,13.044132917179164
Mirabell Gardens,Run,22,47.80597975416289,13.043791143679806
Mirabell Gardens,Hike,52,47.80441343360656,13.042396799304788
Mirabell Gardens,Walk,53,47.80723381736815,13.04798788817865
Mirabell Gardens,Walk,44,47.80416873452504,13.044967838044636
Mirabell Gardens,Hike,61,47.806313295392506,13.039649714826684
Mirabell Gardens,Ride,39,47.803060494814176,13.044072908629538
Mirabell Gardens,Walk,53,47.80400772092665,13.042376427070463
Mirabell Gardens,Walk,29,47.8062952918538,13.045404866669593
Mirabell Gardens,Hike,44,47.80710769986999,13.042114958523134
Mirabell Gardens,Walk,42,47.806257052421785,13.043470527117066
Mirabell Gardens,Ride,48,47.805826527576414,13.04470997455796
Mirabell Gardens,Hike,39,47.80554834445661,13.04543151038834
Mirabell Gardens,Ride,43,47.803782217014444,13.041299407185887
Mirabell Gardens,Walk,57,47.804920233687405,13.043030997528318
Mirabell Gardens,Walk,38,47.80530904184356,13.042750109377678
Mirabell Gardens,Ride,20,47.807585683339326,13.042393341534853
Mirabell Gardens,Run,71,47.80651542743435,13.04723090848056
Mirabell Gardens,Walk,65,47.80335543976695,13.044509963421921
Mirabell Gardens,Run,25,47.80648612595409,13.04117823209133
Mirabell Gardens,Walk,55,47.80542237657937,13.045535723894108
Mirabell Gardens,Run,37,47.80498461699954,13.047944312394025
Mirabell Gardens,Run,48,47.80691751443326,13.045764930521102
Mirabell Gardens,Run,49,47.80754649928374,13.040661260068092
Mirabell Gardens,Ride,41,47.80739692017867,13.042731531854267
Mirabell Gardens,Run,33,47.804741173715165,13.046233822298372
Mirabell Gardens,Run,34,47.80553618143622,13.042284661068761
Mirabell Gardens,Run,31,47.806496895147106,13.044587638856292
Mirabell Gardens,Walk,32,47.80746331769068,13.045249268106858
Mirabell Gardens,Run,43,47.80528123864323,13.041846139056844
Mirabell Gardens,Walk,34,47.805721511535005,13.043580949287875
Mirabell Gardens,Run,55,47.80434049753899,13.037217465319861
Mirabell Gardens,Run,67,47.804205690063874,13.04165122471733
Mirabell Gardens,Ride,36,47.807218788733586,13.043194863697213
Mirabell Gardens,Walk,48,47.80803436004285,13.04120443363607
Mirabell Gardens,Run,52,47.80589198481763,13.046964822607862
Mirabell Gardens,Walk,52,47.807505299346836,13.040839717244078
Mirabell Gardens,Walk,46,47.80654245403757,13.042819911026605
Mirabell Gardens,Hike,56,47.80503232036809,13.043961481154572
Mirabell Gardens,Ride,52,47.80654209340826,13.046582546578131
Mirabell Gardens,Ride,26,47.8083070548497,13.04082827569764
Mirabell Gardens,Ride,58,47.80594626094133,13.04602632750431
Mirabell Gardens,Hike,58,47.80834696548372,13.04372046612204
Mirabell Gardens,Hike,33,47.802070382343864,13.041736982697904
Mirabell Gardens,Ride,45,47.80723285375656,13.044624206948527
Mirabell Gardens,Hike,55,47.806130570602356,13.044098119391146
Mirabell Gardens,Hike,41,47.805551488974295,13.042499566245683
Mirabell Gardens,Hike,61,47.8061376411648,13.04383960416998
Mirabell Gardens,Ride,80,47.8030186466281,13.042929372806276
Mirabell Gardens,Ride,33,47.80567049216824,13.043927034690501
Mirabell Gardens,Ride,24,47.806535668857265,13.045024261349042
Mirabell Gardens,Hike,49,47.80821684106711,13.04687203363229
Mirabell Gardens,Ride,55,47.805222594672586,13.041224369002345
Mirabell Gardens,Hike,41,47.804787259595656,13.047966066749312
Mirabell Gardens,Run,66,47.80524736443462,13.039795824400954
Mirabell Gardens,Hike,24,47.80737310317655,13.043396429809928
